GVKEY,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,che,csho,dltt,costat,prcc_c
5783,12/31/2017,2017,INDL,C,D,STD,JBHT,HUNT (JB) TRANSPRT SVCS INC,USD,14.612,109.753,1085.649,A,114.98
5783,12/31/2018,2018,INDL,C,D,STD,JBHT,HUNT (JB) TRANSPRT SVCS INC,USD,7.6,108.711,898.398,A,93.04
5783,12/31/2019,2019,INDL,C,D,STD,JBHT,HUNT (JB) TRANSPRT SVCS INC,USD,35,106.213,1375.84,A,116.78
5783,12/31/2020,2020,INDL,C,D,STD,JBHT,HUNT (JB) TRANSPRT SVCS INC,USD,313.302,105.654,1392.624,A,136.65
5783,12/31/2021,2021,INDL,C,D,STD,JBHT,HUNT (JB) TRANSPRT SVCS INC,USD,355.549,105.094,1069.357,A,204.4
21440,12/31/2017,2017,INDL,C,D,STD,LSTR,LANDSTAR SYSTEM INC,USD,291.344,41.991,83.062,A,104.1
21440,12/31/2018,2018,INDL,C,D,STD,LSTR,LANDSTAR SYSTEM INC,USD,239.794,40.116,84.864,A,95.67
21440,12/31/2019,2019,INDL,C,D,STD,LSTR,LANDSTAR SYSTEM INC,USD,352.416,39.473,72.247,A,113.87
21440,12/31/2020,2020,INDL,C,D,STD,LSTR,LANDSTAR SYSTEM INC,USD,290.729,38.386,67.215,A,134.66
21440,12/31/2021,2021,INDL,C,D,STD,LSTR,LANDSTAR SYSTEM INC,USD,251.3,37.694,76.547,A,179.02
31624,12/31/2017,2017,INDL,C,D,STD,APRN,BLUE APRON HOLDNG INC,USD,228.514,191.385,195.349,A,4.03
31624,12/31/2018,2018,INDL,C,D,STD,APRN,BLUE APRON HOLDNG INC,USD,95.615,194.312,154.514,A,1.02
31624,12/31/2019,2019,INDL,C,D,STD,APRN,BLUE APRON HOLDNG INC,USD,43.531,13.263,125.211,A,6.58
31624,12/31/2020,2020,INDL,C,D,STD,APRN,BLUE APRON HOLDNG INC,USD,44.732,17.86,64.731,A,5.59
31624,12/31/2021,2021,INDL,C,D,STD,APRN,BLUE APRON HOLDNG INC,USD,82.768,31.694,61.777,A,6.73
34270,12/31/2018,2018,INDL,C,D,STD,NIU,NIU TECHNOLOGIES -ADR,USD,130.276,74.337,0,A,7
34270,12/31/2019,2019,INDL,C,D,STD,NIU,NIU TECHNOLOGIES -ADR,USD,141.669,74.708,0,A,8.53
34270,12/31/2020,2020,INDL,C,D,STD,NIU,NIU TECHNOLOGIES -ADR,USD,193.491,76.18,0,A,28.05
34270,12/31/2021,2021,INDL,C,D,STD,NIU,NIU TECHNOLOGIES -ADR,USD,204.908,76.84,2.192,A,16.11
36965,12/31/2020,2020,INDL,C,D,STD,GRAB,GRAB HOLDINGS LIMITED,USD,0.856,62.5,0,A,12.86
36965,12/31/2021,2021,INDL,C,D,STD,GRAB,GRAB HOLDINGS LIMITED,USD,8231,3709.528,2031,A,7.13
37420,12/31/2020,2020,INDL,C,D,STD,DASH,DOORDASH INC,USD,4859,318.503,238,A,142.75
37420,12/31/2021,2021,INDL,C,D,STD,DASH,DOORDASH INC,USD,3757,346.512,373,A,148.9
37658,12/31/2021,2021,INDL,C,D,STD,BRDS,BIRD GLOBAL INC,USD,158.698,272.624,0,A,6.17
38998,12/31/2021,2021,INDL,C,D,STD,DIDIY,DIDI GLOBAL INC,USD,9007.167,4730.535,367.773,A,4.98
39319,12/31/2021,2021,INDL,C,D,STD,GXO,GXO LOGISTIC INC,USD,333,114.659,2318,A,90.83
39435,12/31/2021,2021,INDL,C,D,STD,HLBZ,HELBIZ INC,USD,21.143,30.515,18.057,A,5.49
62378,12/31/2017,2017,INDL,C,D,STD,HUBG,HUB GROUP INC  -CL A,USD,28.557,34.109,222.504,A,47.9
62378,12/31/2018,2018,INDL,C,D,STD,HUBG,HUB GROUP INC  -CL A,USD,61.435,34.456,233.81,A,37.07
62378,12/31/2019,2019,INDL,C,D,STD,HUBG,HUB GROUP INC  -CL A,USD,168.729,34.016,217.272,A,51.29
62378,12/31/2020,2020,INDL,C,D,STD,HUBG,HUB GROUP INC  -CL A,USD,124.506,34.212,213.133,A,57
62378,12/31/2021,2021,INDL,C,D,STD,HUBG,HUB GROUP INC  -CL A,USD,159.784,34.57,212.395,A,84.24
65609,12/31/2017,2017,INDL,C,D,STD,CHRW,C H ROBINSON WORLDWIDE INC,USD,333.89,139.542,750,A,89.09
65609,12/31/2018,2018,INDL,C,D,STD,CHRW,C H ROBINSON WORLDWIDE INC,USD,378.615,137.284,1341.352,A,84.09
