gvkey,splticrm,datadate,spcsrc,conm,tic
005783,BBB,01/31/2010,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
005783,BBB,02/28/2010,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
005783,BBB,03/31/2010,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
005783,BBB,04/30/2010,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
005783,BBB,05/31/2010,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
005783,BBB,06/30/2010,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
005783,BBB,07/31/2010,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
005783,BBB,08/31/2010,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
005783,BBB,09/30/2010,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
005783,BBB,10/31/2010,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
005783,BBB,11/30/2010,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
005783,BBB,12/31/2010,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
005783,BBB,01/31/2011,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
005783,BBB,02/28/2011,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
005783,BBB,03/31/2011,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
005783,BBB,04/30/2011,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
005783,BBB,05/31/2011,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
005783,BBB,06/30/2011,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
005783,BBB,07/31/2011,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
005783,BBB,08/31/2011,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
005783,BBB,09/30/2011,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
005783,BBB,10/31/2011,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
005783,BBB,11/30/2011,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
005783,BBB,12/31/2011,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
005783,BBB,01/31/2012,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
005783,BBB,02/29/2012,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
005783,BBB,03/31/2012,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
005783,BBB,04/30/2012,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
005783,BBB,05/31/2012,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
005783,BBB,06/30/2012,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
005783,BBB+,07/31/2012,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
005783,BBB+,08/31/2012,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
005783,BBB+,09/30/2012,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
005783,BBB+,10/31/2012,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
005783,BBB+,11/30/2012,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
005783,BBB+,12/31/2012,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
005783,BBB+,01/31/2013,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
005783,BBB+,02/28/2013,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
005783,BBB+,03/31/2013,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
005783,BBB+,04/30/2013,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
005783,BBB+,05/31/2013,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
005783,BBB+,06/30/2013,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
005783,BBB+,07/31/2013,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
005783,BBB+,08/31/2013,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
005783,BBB+,09/30/2013,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
005783,BBB+,10/31/2013,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
005783,BBB+,11/30/2013,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
005783,BBB+,12/31/2013,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
005783,BBB+,01/31/2014,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
005783,BBB+,02/28/2014,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
005783,BBB+,03/31/2014,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
005783,BBB+,04/30/2014,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
005783,BBB+,05/31/2014,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
005783,BBB+,06/30/2014,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
005783,BBB+,07/31/2014,A,HUNT (JB) TRANSPRT SVCS INC,JBHT
