"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Country","Action"
"AAPL","Apple Inc","Common stocks","Large cap","Information Technology","$2,439,350,814,120","0.59%","USA","Analyze"
"MSFT","Microsoft Corp","Common stocks","Large cap","Information Technology","$1,730,406,850,917","1.06%","USA","Analyze"
"GOOG","Alphabet Inc Class C","Common stocks","Large cap","Communication Services","$1,140,608,990,000","0.00%","USA","Analyze"
"GOOGL","Alphabet Inc Class A","Common stocks","Large cap","Communication Services","$1,140,608,990,000","0.00%","USA","Analyze"
"AMZN","Amazon.Com Inc.","Common stocks","Large cap","Consumer Discretionary","$1,045,057,453,789","0.00%","USA","Analyze"
"TSLA","Tesla Inc","Common stocks","Large cap","Consumer Discretionary","$712,989,774,039","0.00%","USA","Analyze"
"BRK.B","Berkshire Hathaway Inc. Class B","Common stocks","Large cap","Financials","$650,945,556,723","0.00%","USA","Analyze"
"UNH","Unitedhealth Group Inc","Common stocks","Large cap","Health Care","$519,277,711,457","1.11%","USA","Analyze"
"XOM","Exxon Mobil Corp","Common stocks","Large cap","Energy","$461,815,777,849","3.13%","USA","Analyze"
"JNJ","Johnson & Johnson","Common stocks","Large cap","Health Care","$454,841,713,110","2.49%","USA","Analyze"
"WMT","Walmart Stores Inc","Common stocks","Large cap","Consumer Staples","$386,317,485,573","1.56%","USA","Analyze"
"JPM","JP Morgan Chase & Co","Common stocks","Large cap","Financials","$369,152,212,453","3.15%","USA","Analyze"
"CVX","Chevron Corp","Common stocks","Large cap","Energy","$355,434,754,190","3.05%","USA","Analyze"
"LLY","Eli Lilly","Common stocks","Large cap","Health Care","$344,048,799,488","1.04%","USA","Analyze"
"V","Visa Inc Class A","Common stocks","Large cap","Information Technology","$338,709,634,894","0.72%","USA","Analyze"
"NVDA","Nvidia Corp","Common stocks","Large cap","Information Technology","$336,075,300,000","0.12%","USA","Analyze"
"PG","Procter & Gamble","Common stocks","Large cap","Consumer Staples","$321,255,213,356","2.65%","USA","Analyze"
"MA","Mastercard Inc Class A","Common stocks","Large cap","Information Technology","$313,019,081,995","0.60%","USA","Analyze"
"HD","Home Depot Inc","Common stocks","Large cap","Consumer Discretionary","$303,156,111,566","2.46%","USA","Analyze"
"BAC","Bank of America Corp","Common stocks","Large cap","Financials","$289,128,457,894","2.34%","USA","Analyze"
"PFE","Pfizer Inc","Common stocks","Large cap","Health Care","$261,254,976,709","3.38%","USA","Analyze"
"ABBV","Abbvie Inc","Common stocks","Large cap","Health Care","$258,849,326,868","3.80%","USA","Analyze"
"KO","Coca-Cola","Common stocks","Large cap","Consumer Staples","$258,822,118,850","2.88%","USA","Analyze"
"MRK","Merck & Co Inc","Common stocks","Large cap","Health Care","$256,367,920,314","2.69%","USA","Analyze"
"META","Meta Platforms, Inc.","Common stocks","Large cap","Communication Services","$250,600,400,000","0.00%","USA","Analyze"
"PEP","Pepsico Inc","Common stocks","Large cap","Consumer Staples","$250,164,438,170","2.43%","USA","Analyze"
"COST","Costco Wholesale Corp","Common stocks","Large cap","Consumer Staples","$221,965,978,718","0.69%","USA","Analyze"
"ORCL","Oracle Corp","Common stocks","Large cap","Information Technology","$210,489,704,212","1.63%","USA","Analyze"
"TMO","Thermo Fisher Scientific Inc","Common stocks","Large cap","Health Care","$201,367,772,799","0.23%","USA","Analyze"
"MCD","Mcdonalds Corp","Common stocks","Large cap","Consumer Discretionary","$200,600,671,111","2.01%","USA","Analyze"
"DIS","Walt Disney","Common stocks","Large cap","Communication Services","$194,228,575,562","0.00%","USA","Analyze"
"AVGO","Broadcom Inc.","Common stocks","Large cap","Information Technology","$190,399,284,495","3.46%","USA","Analyze"
"ACN","Accenture Plc Class A","Common stocks","Large cap","Information Technology","$188,731,940,260","1.41%","USA","Analyze"
"TMUS","T Mobile US Inc","Common stocks","Large cap","Communication Services","$188,564,000,549","0.00%","USA","Analyze"
"CSCO","Cisco Systems Inc","Common stocks","Large cap","Information Technology","$186,664,790,507","3.30%","USA","Analyze"
"DHR","Danaher Corp","Common stocks","Large cap","Health Care","$183,206,373,212","0.38%","USA","Analyze"
"WFC","Wells Fargo","Common stocks","Large cap","Financials","$174,442,346,919","2.16%","USA","Analyze"
"ABT","Abbott Laboratories","Common stocks","Large cap","Health Care","$173,265,681,372","1.89%","USA","Analyze"
"BMY","Bristol Myers Squibb","Common stocks","Large cap","Health Care","$164,713,642,082","2.76%","USA","Analyze"
"COP","ConocoPhillips","Common stocks","Large cap","Energy","$163,091,053,381","3.11%","USA","Analyze"
"CRM","Salesforce.Com Inc","Common stocks","Large cap","Information Technology","$162,590,000,000","0.00%","USA","Analyze"
"VZ","Verizon Communications Inc","Common stocks","Large cap","Communication Services","$156,947,177,994","6.74%","USA","Analyze"
"NEE","Nextera Energy Inc","Common stocks","Large cap","Utilities","$152,270,386,683","2.13%","USA","Analyze"
"ADBE","Adobe Inc","Common stocks","Large cap","Information Technology","$148,070,650,000","0.00%","USA","Analyze"
"LIN","Linde Plc","Common stocks","Large cap","Materials","$147,003,753,840","1.53%","USA","Analyze"
"TXN","Texas Instrument Inc","Common stocks","Large cap","Information Technology","$145,783,244,099","2.89%","USA","Analyze"
"SCHW","Charles Schwab Corporation","Common stocks","Large cap","Financials","$144,823,658,417","1.00%","USA","Analyze"
"AMGN","Amgen Inc","Common stocks","Large cap","Health Care","$144,618,555,298","2.77%","USA","Analyze"
"PM","Philip Morris International Inc","Common stocks","Large cap","Consumer Staples","$142,386,081,714","5.36%","USA","Analyze"
"MS","Morgan Stanley","Common stocks","Large cap","Financials","$141,071,617,646","3.54%","USA","Analyze"
"RTX","Raytheon Technologies Corporation","Common stocks","Large cap","Industrials","$139,391,162,686","2.22%","USA","Analyze"
"HON","Honeywell International Inc","Common stocks","Large cap","Industrials","$137,167,181,773","1.91%","USA","Analyze"
"CMCSA","Comcast A Corp","Common stocks","Large cap","Communication Services","$136,925,227,485","3.31%","USA","Analyze"
"QCOM","Qualcomm Inc","Common stocks","Large cap","Information Technology","$132,132,180,000","2.41%","USA","Analyze"
"ELV","Elevance Health, Inc.","Common stocks","Large cap","Health Care","$131,225,179,458","0.91%","USA","Analyze"
"T","AT&T Inc.","Common stocks","Large cap","Communication Services","$129,979,900,000","6.56%","USA","Analyze"
"NFLX","Netflix Inc","Common stocks","Large cap","Communication Services","$128,951,126,935","0.00%","USA","Analyze"
"LMT","Lockheed Martin Corp","Common stocks","Large cap","Industrials","$127,546,156,313","2.29%","USA","Analyze"
"IBM","International Business Machines Co","Common stocks","Large cap","Information Technology","$125,031,634,739","4.67%","USA","Analyze"
"CVS","CVS Health Corp","Common stocks","Large cap","Health Care","$124,324,888,023","2.30%","USA","Analyze"
"UPS","United Parcel Service Inc Class B","Common stocks","Large cap","Industrials","$122,390,861,236","3.29%","USA","Analyze"
"UNP","Union Pacific Corp","Common stocks","Large cap","Industrials","$121,201,829,712","2.50%","USA","Analyze"
"LOW","Lowes Companies Inc","Common stocks","Large cap","Consumer Discretionary","$121,005,575,537","1.88%","USA","Analyze"
"INTU","Intuit Inc","Common stocks","Large cap","Information Technology","$120,499,373,273","0.66%","USA","Analyze"
"DE","Deere & Company","Common stocks","Large cap","Industrials","$119,466,245,947","1.10%","USA","Analyze"
"GS","Goldman Sachs Group Inc","Common stocks","Large cap","Financials","$117,600,531,444","2.45%","USA","Analyze"
"INTC","Intel Corporation Corp","Common stocks","Large cap","Information Technology","$117,330,610,000","5.01%","USA","Analyze"
"NKE","Nike Inc Class B","Common stocks","Large cap","Consumer Discretionary","$117,115,327,880","1.31%","USA","Analyze"
"MDT","Medtronic Plc","Common stocks","Large cap","Health Care","$116,088,248,261","2.97%","USA","Analyze"
"CAT","Caterpillar Inc","Common stocks","Large cap","Industrials","$114,271,213,094","2.11%","USA","Analyze"
"AXP","American Express","Common stocks","Large cap","Financials","$110,926,693,721","1.33%","USA","Analyze"
"SPGI","S&P Global Inc","Common stocks","Large cap","Financials","$104,663,250,000","1.01%","USA","Analyze"
"PLD","Prologis, Inc","REITs","Large cap","Real Estate","$102,230,667,000","2.68%","USA","Analyze"
"ADP","Automatic Data Processing Inc","Common stocks","Large cap","Information Technology","$100,375,997,122","1.71%","USA","Analyze"
"SBUX","Starbucks Corp","Common stocks","Large cap","Consumer Discretionary","$99,353,366,000","2.24%","USA","Analyze"
"CI","Cigna Corp","Common stocks","Large cap","Health Care","$98,570,840,218","1.35%","USA","Analyze"
"GILD","Gilead Sciences Inc","Common stocks","Large cap","Health Care","$98,339,205,733","3.63%","USA","Analyze"
"BLK","Blackrock Inc","Common stocks","Large cap","Financials","$97,383,036,207","2.89%","USA","Analyze"
"AMD","Advanced Micro Devices Inc","Common stocks","Large cap","Information Technology","$96,956,113,254","0.00%","USA","Analyze"
"PYPL","Paypal Holdings Inc","Common stocks","Large cap","Information Technology","$96,658,253,549","0.00%","USA","Analyze"
"AMT","American Tower Corporation","REITs","Large cap","Real Estate","$96,468,824,886","2.72%","USA","Analyze"
"CB","Chubb Ltd","Common stocks","Large cap","Financials","$89,190,153,380","1.51%","USA","Analyze"
"C","Citigroup Inc","Common stocks","Large cap","Financials","$88,817,503,311","3.30%","USA","Analyze"
"ISRG","Intuitive Surgical Inc","Common stocks","Large cap","Health Care","$87,098,694,968","0.00%","USA","Analyze"
"SYK","Stryker Corp","Common stocks","Large cap","Health Care","$86,688,041,299","1.21%","USA","Analyze"
"GE","General Electric","Common stocks","Large cap","Industrials","$85,020,507,973","0.41%","USA","Analyze"
"NOW","Servicenow Inc","Common stocks","Large cap","Information Technology","$84,989,480,000","0.00%","USA","Analyze"
"BA","Boeing","Common stocks","Large cap","Industrials","$84,624,029,694","0.00%","USA","Analyze"
"NOC","Northrop Grumman Corp","Common stocks","Large cap","Industrials","$84,499,312,766","1.20%","USA","Analyze"
"MDLZ","Mondelez International Inc","Common stocks","Large cap","Consumer Staples","$84,262,404,627","2.31%","USA","Analyze"
"TJX","TJX Companies, Inc.","Common stocks","Large cap","Consumer Discretionary","$83,711,918,488","1.53%","USA","Analyze"
"MO","Altria Group Inc","Common stocks","Large cap","Consumer Staples","$82,923,827,035","7.64%","USA","Analyze"
"REGN","Regeneron Pharmaceuticals Inc","Common stocks","Large cap","Health Care","$80,258,644,280","0.00%","USA","Analyze"
