DATE,BAMLC0A1CAAAEY
2016-11-01,2.63
2016-11-02,2.62
2016-11-03,2.63
2016-11-04,2.61
2016-11-07,2.64
2016-11-08,2.66
2016-11-09,2.82
2016-11-10,2.82
2016-11-11,2.82
2016-11-14,2.9
2016-11-15,2.92
2016-11-16,2.9
2016-11-17,2.95
2016-11-18,2.99
2016-11-21,3.01
2016-11-22,3
2016-11-23,3.01
2016-11-24,3.01
2016-11-25,3.02
2016-11-28,2.98
2016-11-29,2.96
2016-11-30,3.05
2016-12-01,3.1
2016-12-02,3.06
2016-12-05,3.06
2016-12-06,3.06
2016-12-07,3.03
2016-12-08,3.06
2016-12-09,3.12
2016-12-12,3.12
2016-12-13,3.12
2016-12-14,3.15
2016-12-15,3.18
2016-12-16,3.2
2016-12-19,3.15
2016-12-20,3.16
2016-12-21,3.14
2016-12-22,3.14
2016-12-23,3.13
2016-12-26,.
2016-12-27,3.15
2016-12-28,3.1
2016-12-29,3.07
2016-12-30,3.04
2016-12-31,3.05
2017-01-02,.
2017-01-03,3.05
2017-01-04,3.05
2017-01-05,2.98
2017-01-06,3.03
2017-01-09,3
2017-01-10,3
2017-01-11,2.99
2017-01-12,2.99
2017-01-13,3.01
2017-01-16,3
2017-01-17,2.96
2017-01-18,3.01
2017-01-19,3.06
2017-01-20,3.06
2017-01-23,3
2017-01-24,3.07
2017-01-25,3.1
2017-01-26,3.08
2017-01-27,3.06
2017-01-30,3.1
2017-01-31,3.1
2017-02-01,3.11
2017-02-02,3.09
2017-02-03,3.1
2017-02-06,3.04
2017-02-07,3.02
2017-02-08,2.99
2017-02-09,3.03
2017-02-10,3.03
2017-02-13,3.04
2017-02-14,3.07
2017-02-15,3.09
2017-02-16,3.04
2017-02-17,3.02
2017-02-20,3.02
2017-02-21,3.03
2017-02-22,3.02
2017-02-23,3
2017-02-24,2.94
2017-02-27,2.98
2017-02-28,3.03
2017-03-01,3.11
2017-03-02,3.12
2017-03-03,3.11
2017-03-06,3.12
2017-03-07,3.15
2017-03-08,3.19
2017-03-09,3.23
2017-03-10,3.22
2017-03-13,3.25
2017-03-14,3.25
2017-03-15,3.17
2017-03-16,3.18
2017-03-17,3.16
2017-03-20,3.14
2017-03-21,3.11
2017-03-22,3.08
2017-03-23,3.09
2017-03-24,3.07
2017-03-27,3.06
2017-03-28,3.08
2017-03-29,3.06
2017-03-30,3.08
2017-03-31,3.07
2017-04-03,3.03
2017-04-04,3.04
2017-04-05,3.04
2017-04-06,3.03
2017-04-07,3.05
2017-04-10,3.04
2017-04-11,2.99
2017-04-12,2.99
2017-04-13,2.94
2017-04-14,.
2017-04-17,2.96
2017-04-18,2.9
2017-04-19,2.91
2017-04-20,2.94
2017-04-21,2.94
2017-04-24,2.97
2017-04-25,3.01
2017-04-26,3
2017-04-27,2.99
2017-04-28,2.98
2017-04-30,2.99
2017-05-01,3.03
2017-05-02,2.99
2017-05-03,2.99
2017-05-04,3.03
2017-05-05,3.02
2017-05-08,3.04
2017-05-09,3.06
2017-05-10,3.06
2017-05-11,3.05
2017-05-12,2.99
2017-05-15,2.99
2017-05-16,2.98
2017-05-17,2.9
2017-05-18,2.92
2017-05-19,2.93
2017-05-22,2.93
2017-05-23,2.96
2017-05-24,2.95
2017-05-25,2.94
2017-05-26,2.93
2017-05-29,2.93
2017-05-30,2.9
2017-05-31,2.9
2017-06-01,2.91
2017-06-02,2.87
2017-06-05,2.88
2017-06-06,2.86
2017-06-07,2.88
2017-06-08,2.9
2017-06-09,2.9
2017-06-12,2.91
2017-06-13,2.91
2017-06-14,2.84
2017-06-15,2.87
2017-06-16,2.86
2017-06-19,2.87
2017-06-20,2.84
2017-06-21,2.83
2017-06-22,2.83
2017-06-23,2.82
2017-06-26,2.81
2017-06-27,2.85
2017-06-28,2.86
2017-06-29,2.89
2017-06-30,2.91
2017-07-03,2.95
2017-07-04,2.95
2017-07-05,2.93
2017-07-06,2.95
2017-07-07,2.96
2017-07-10,2.94
2017-07-11,2.93
2017-07-12,2.89
2017-07-13,2.91
2017-07-14,2.88
2017-07-17,2.87
2017-07-18,2.83
2017-07-19,2.84
2017-07-20,2.84
2017-07-21,2.81
2017-07-24,2.84
2017-07-25,2.9
2017-07-26,2.86
2017-07-27,2.88
2017-07-28,2.86
2017-07-31,2.88
2017-08-01,2.84
2017-08-02,2.86
2017-08-03,2.83
2017-08-04,2.87
2017-08-07,2.85
2017-08-08,2.88
2017-08-09,2.86
2017-08-10,2.85
2017-08-11,2.84
2017-08-14,2.86
2017-08-15,2.89
2017-08-16,2.85
2017-08-17,2.83
2017-08-18,2.83
2017-08-21,2.82
2017-08-22,2.84
2017-08-23,2.81
2017-08-24,2.83
2017-08-25,2.81
2017-08-28,2.8
2017-08-29,2.79
2017-08-30,2.8
2017-08-31,2.79
2017-09-01,2.82
2017-09-04,2.82
2017-09-05,2.75
2017-09-06,2.79
2017-09-07,2.76
2017-09-08,2.77
2017-09-11,2.82
2017-09-12,2.85
2017-09-13,2.86
2017-09-14,2.85
2017-09-15,2.85
2017-09-18,2.87
2017-09-19,2.87
2017-09-20,2.88
2017-09-21,2.88
2017-09-22,2.86
2017-09-25,2.83
2017-09-26,2.83
2017-09-27,2.89
2017-09-28,2.86
2017-09-29,2.87
2017-09-30,2.87
2017-10-02,2.87
2017-10-03,2.85
2017-10-04,2.85
2017-10-05,2.87
2017-10-06,2.88
2017-10-09,2.88
2017-10-10,2.86
2017-10-11,2.86
2017-10-12,2.85
2017-10-13,2.82
2017-10-16,2.85
2017-10-17,2.84
2017-10-18,2.86
2017-10-19,2.85
2017-10-20,2.89
2017-10-23,2.88
2017-10-24,2.89
2017-10-25,2.93
2017-10-26,2.93
2017-10-27,2.91
2017-10-30,2.87
2017-10-31,2.89
2017-11-01,2.90
2017-11-02,2.87
2017-11-03,2.87
2017-11-06,2.86
2017-11-07,2.87
2017-11-08,2.90
2017-11-09,2.92
2017-11-10,2.99
2017-11-13,2.98
2017-11-14,2.97
2017-11-15,2.94
2017-11-16,2.96
2017-11-17,2.95
2017-11-20,2.96
2017-11-21,2.94
2017-11-22,2.89
2017-11-23,2.89
2017-11-24,2.90
2017-11-27,2.90
2017-11-28,2.91
2017-11-29,2.94
2017-11-30,2.99
2017-12-01,2.94
2017-12-04,2.95
2017-12-05,2.93
2017-12-06,2.92
2017-12-07,2.96
2017-12-08,2.96
2017-12-11,2.96
2017-12-12,2.97
2017-12-13,2.91
2017-12-14,2.91
2017-12-15,2.91
2017-12-18,2.94
2017-12-19,2.99
2017-12-20,3.03
2017-12-21,3.00
2017-12-22,3.01
2017-12-25,.
2017-12-26,2.99
2017-12-27,2.94
2017-12-28,2.95
2017-12-29,2.93
2017-12-31,2.95
2018-01-01,.
2018-01-02,3.01
2018-01-03,3.00
2018-01-04,3.01
2018-01-05,3.02
2018-01-08,3.02
2018-01-09,3.06
2018-01-10,3.06
2018-01-11,3.04
2018-01-12,3.04
2018-01-15,3.04
2018-01-16,3.04
2018-01-17,3.06
2018-01-18,3.09
2018-01-19,3.12
2018-01-22,3.14
2018-01-23,3.12
2018-01-24,3.14
2018-01-25,3.10
2018-01-26,3.13
2018-01-29,3.15
2018-01-30,3.18
2018-01-31,3.18
2018-02-01,3.21
2018-02-02,3.26
2018-02-05,3.21
2018-02-06,3.21
2018-02-07,3.25
2018-02-08,3.28
2018-02-09,3.28
2018-02-12,3.30
2018-02-13,3.32
2018-02-14,3.37
2018-02-15,3.34
2018-02-16,3.33
2018-02-19,3.33
2018-02-20,3.35
2018-02-21,3.40
2018-02-22,3.37
2018-02-23,3.35
2018-02-26,3.33
2018-02-27,3.38
2018-02-28,3.38
2018-03-01,3.35
2018-03-02,3.40
2018-03-05,3.42
2018-03-06,3.40
2018-03-07,3.41
2018-03-08,3.39
2018-03-09,3.42
2018-03-12,3.40
2018-03-13,3.40
2018-03-14,3.39
2018-03-15,3.39
2018-03-16,3.41
2018-03-19,3.40
2018-03-20,3.44
2018-03-21,3.47
2018-03-22,3.42
2018-03-23,3.43
2018-03-26,3.44
2018-03-27,3.39
2018-03-28,3.38
2018-03-29,3.35
2018-03-30,.
2018-03-31,3.36
2018-04-02,3.35
2018-04-03,3.39
2018-04-04,3.40
2018-04-05,3.42
2018-04-06,3.37
2018-04-09,3.37
2018-04-10,3.37
2018-04-11,3.36
2018-04-12,3.40
2018-04-13,3.40
2018-04-16,3.39
2018-04-17,3.38
2018-04-18,3.43
2018-04-19,3.48
2018-04-20,3.50
2018-04-23,3.52
2018-04-24,3.54
2018-04-25,3.58
2018-04-26,3.56
2018-04-27,3.52
2018-04-30,3.51
2018-05-01,3.56
2018-05-02,3.54
2018-05-03,3.53
2018-05-04,3.53
2018-05-07,3.54
2018-05-08,3.55
2018-05-09,3.57
2018-05-10,3.54
2018-05-11,3.52
2018-05-14,3.53
2018-05-15,3.60
2018-05-16,3.62
2018-05-17,3.62
2018-05-18,3.58
2018-05-21,3.59
2018-05-22,3.59
2018-05-23,3.54
2018-05-24,3.51
2018-05-25,3.48
2018-05-28,3.48
2018-05-29,3.36
2018-05-30,3.43
2018-05-31,3.41
2018-06-01,3.47
2018-06-04,3.50
2018-06-05,3.49
2018-06-06,3.54
2018-06-07,3.51
2018-06-08,3.51
2018-06-11,3.53
2018-06-12,3.53
2018-06-13,3.55
2018-06-14,3.52
2018-06-15,3.50
2018-06-18,3.51
2018-06-19,3.50
2018-06-20,3.53
2018-06-21,3.53
2018-06-22,3.54
2018-06-25,3.53
2018-06-26,3.53
2018-06-27,3.47
2018-06-28,3.49
2018-06-29,3.49
2018-06-30,3.51
2018-07-02,3.53
2018-07-03,3.49
2018-07-04,3.49
2018-07-05,3.48
2018-07-06,3.46
2018-07-09,3.48
2018-07-10,3.48
2018-07-11,3.46
2018-07-12,3.46
2018-07-13,3.43
2018-07-16,3.45
2018-07-17,3.46
2018-07-18,3.47
2018-07-19,3.44
2018-07-20,3.48
2018-07-23,3.55
2018-07-24,3.51
2018-07-25,3.50
2018-07-26,3.53
2018-07-27,3.51
2018-07-30,3.52
2018-07-31,3.51
2018-08-01,3.54
2018-08-02,3.53
2018-08-03,3.50
2018-08-06,3.47
2018-08-07,3.49
2018-08-08,3.50
2018-08-09,3.48
2018-08-10,3.44
2018-08-13,3.46
2018-08-14,3.47
2018-08-15,3.44
2018-08-16,3.44
2018-08-17,3.44
2018-08-20,3.39
2018-08-21,3.41
2018-08-22,3.40
2018-08-23,3.40
2018-08-24,3.41
2018-08-27,3.43
2018-08-28,3.46
2018-08-29,3.45
2018-08-30,3.45
2018-08-31,3.49
2018-09-03,3.49
2018-09-04,3.54
2018-09-05,3.53
2018-09-06,3.51
2018-09-07,3.56
2018-09-10,3.55
2018-09-11,3.58
2018-09-12,3.55
2018-09-13,3.54
2018-09-14,3.56
2018-09-17,3.56
2018-09-18,3.60
2018-09-19,3.63
2018-09-20,3.61
2018-09-21,3.61
2018-09-24,3.62
2018-09-25,3.64
2018-09-26,3.61
2018-09-27,3.60
2018-09-28,3.60
2018-09-30,3.61
2018-10-01,3.63
2018-10-02,3.61
2018-10-03,3.69
2018-10-04,3.73
2018-10-05,3.77
2018-10-08,3.77
2018-10-09,3.75
2018-10-10,3.75
2018-10-11,3.71
2018-10-12,3.71
2018-10-15,3.73
2018-10-16,3.72
2018-10-17,3.75
2018-10-18,3.75
2018-10-19,3.78
2018-10-22,3.78
2018-10-23,3.78
2018-10-24,3.73
2018-10-25,3.76
2018-10-26,3.72
2018-10-29,3.73
2018-10-30,3.77
2018-10-31,3.80
2018-11-01,3.79
2018-11-02,3.83
2018-11-05,3.81
2018-11-06,3.81
2018-11-07,3.79
2018-11-08,3.79
2018-11-09,3.76
2018-11-12,3.76
2018-11-13,3.75
2018-11-14,3.74
2018-11-15,3.78
2018-11-16,3.75
2018-11-19,3.75
2018-11-20,3.75
2018-11-21,3.75
2018-11-22,3.75
2018-11-23,3.74
2018-11-26,3.74
2018-11-27,3.75
2018-11-28,3.76
2018-11-29,3.75
2018-11-30,3.77
2018-12-03,3.73
2018-12-04,3.68
2018-12-05,3.68
2018-12-06,3.66
2018-12-07,3.64
2018-12-10,3.65
2018-12-11,3.65
2018-12-12,3.64
2018-12-13,3.63
2018-12-14,3.62
2018-12-17,3.59
2018-12-18,3.55
2018-12-19,3.50
2018-12-20,3.55
2018-12-21,3.56
2018-12-24,3.52
2018-12-25,.
2018-12-26,3.57
2018-12-27,3.55
2018-12-28,3.56
2018-12-31,3.53
2019-01-01,.
2019-01-02,3.50
2019-01-03,3.42
2019-01-04,3.51
2019-01-07,3.50
2019-01-08,3.52
2019-01-09,3.51
2019-01-10,3.52
2019-01-11,3.50
2019-01-14,3.51
2019-01-15,3.51
2019-01-16,3.51
2019-01-17,3.50
2019-01-18,3.50
2019-01-21,3.50
2019-01-22,3.45
2019-01-23,3.45
2019-01-24,3.42
2019-01-25,3.44
2019-01-28,3.43
2019-01-29,3.40
2019-01-30,3.39
2019-01-31,3.33
2019-02-01,3.36
2019-02-04,3.38
2019-02-05,3.35
2019-02-06,3.34
2019-02-07,3.31
2019-02-08,3.30
2019-02-11,3.31
2019-02-12,3.33
2019-02-13,3.34
2019-02-14,3.31
2019-02-15,3.32
2019-02-18,3.32
2019-02-19,3.32
2019-02-20,3.32
2019-02-21,3.36
2019-02-22,3.33
2019-02-25,3.34
2019-02-26,3.32
2019-02-27,3.37
2019-02-28,3.43
2019-03-01,3.45
2019-03-04,3.43
2019-03-05,3.43
2019-03-06,3.41
2019-03-07,3.37
2019-03-08,3.37
2019-03-11,3.38
2019-03-12,3.34
2019-03-13,3.35
2019-03-14,3.37
2019-03-15,3.33
2019-03-18,3.33
2019-03-19,3.35
2019-03-20,3.29
2019-03-21,3.28
2019-03-22,3.20
2019-03-25,3.16
2019-03-26,3.15
2019-03-27,3.13
2019-03-28,3.14
2019-03-29,3.16
2019-03-31,3.16
2019-04-01,3.22
2019-04-02,3.21
2019-04-03,3.24
2019-04-04,3.23
2019-04-05,3.23
2019-04-08,3.24
2019-04-09,3.22
2019-04-10,3.20
2019-04-11,3.22
2019-04-12,3.26
2019-04-15,3.24
2019-04-16,3.28
2019-04-17,3.28
2019-04-18,3.25
2019-04-19,.
2019-04-22,3.28
2019-04-23,3.26
2019-04-24,3.21
2019-04-25,3.23
2019-04-26,3.20
2019-04-29,3.23
2019-04-30,3.21
2019-05-01,3.21
2019-05-02,3.26
2019-05-03,3.24
2019-05-06,3.22
2019-05-07,3.19
2019-05-08,3.22
2019-05-09,3.21
2019-05-10,3.21
2019-05-13,3.19
2019-05-14,3.19
2019-05-15,3.16
2019-05-16,3.17
2019-05-17,3.16
2019-05-20,3.18
2019-05-21,3.20
2019-05-22,3.17
2019-05-23,3.10
2019-05-24,3.13
2019-05-27,3.13
2019-05-28,3.08
2019-05-29,3.07
2019-05-30,3.04
2019-05-31,2.98
2019-06-03,2.93
2019-06-04,2.97
2019-06-05,2.97
2019-06-06,2.97
2019-06-07,2.92
2019-06-10,2.96
2019-06-11,2.95
2019-06-12,2.94
2019-06-13,2.90
2019-06-14,2.91
2019-06-17,2.89
2019-06-18,2.86
2019-06-19,2.82
2019-06-20,2.78
2019-06-21,2.82
2019-06-24,2.77
2019-06-25,2.79
2019-06-26,2.81
2019-06-27,2.76
2019-06-28,2.75
2019-06-30,2.75
2019-07-01,2.77
2019-07-02,2.73
2019-07-03,2.70
2019-07-04,2.70
2019-07-05,2.79
2019-07-08,2.78
2019-07-09,2.81
2019-07-10,2.80
2019-07-11,2.85
2019-07-12,2.84
2019-07-15,2.83
2019-07-16,2.85
2019-07-17,2.80
2019-07-18,2.77
2019-07-19,2.78
2019-07-22,2.78
2019-07-23,2.79
2019-07-24,2.76
2019-07-25,2.79
2019-07-26,2.79
2019-07-29,2.77
2019-07-30,2.78
2019-07-31,2.76
2019-08-01,2.65
2019-08-02,2.65
2019-08-05,2.59
2019-08-06,2.59
2019-08-07,2.55
2019-08-08,2.56
2019-08-09,2.57
2019-08-12,2.49
2019-08-13,2.52
2019-08-14,2.44
2019-08-15,2.39
2019-08-16,2.38
2019-08-19,2.43
2019-08-20,2.39
2019-08-21,2.40
2019-08-22,2.43
2019-08-23,2.36
2019-08-26,2.38
2019-08-27,2.32
2019-08-28,2.31
2019-08-29,2.35
2019-08-30,2.34
2019-08-31,2.35
2019-09-02,2.35
2019-09-03,2.32
2019-09-04,2.31
2019-09-05,2.41
2019-09-06,2.39
2019-09-09,2.46
2019-09-10,2.54
2019-09-11,2.56
2019-09-12,2.61
2019-09-13,2.71
2019-09-16,2.66
2019-09-17,2.63
2019-09-18,2.60
2019-09-19,2.57
2019-09-20,2.55
2019-09-23,2.51
2019-09-24,2.45
2019-09-25,2.54
2019-09-26,2.49
2019-09-27,2.48
2019-09-30,2.49
2019-10-01,2.46
2019-10-02,2.43
2019-10-03,2.38
2019-10-04,2.35
2019-10-07,2.39
2019-10-08,2.38
2019-10-09,2.42
2019-10-10,2.47
2019-10-11,2.53
2019-10-14,2.53
2019-10-15,2.53
2019-10-16,2.50
2019-10-17,2.50
2019-10-18,2.49
2019-10-21,2.53
2019-10-22,2.50
2019-10-23,2.50
2019-10-24,2.50
2019-10-25,2.53
2019-10-28,2.56
2019-10-29,2.56
2019-10-30,2.54
2019-10-31,2.46
2019-11-01,2.49
2019-11-04,2.53
2019-11-05,2.59
2019-11-06,2.54
2019-11-07,2.62
2019-11-08,2.62
2019-11-11,2.62
2019-11-12,2.60
2019-11-13,2.58
2019-11-14,2.54
2019-11-15,2.55
2019-11-18,2.52
2019-11-19,2.51
2019-11-20,2.48
2019-11-21,2.52
2019-11-22,2.52
2019-11-25,2.50
2019-11-26,2.47
2019-11-27,2.48
2019-11-28,.
2019-11-29,2.48
2019-11-30,2.51
2019-12-02,2.57
2019-12-03,2.46
2019-12-04,2.51
2019-12-05,2.51
2019-12-06,2.54
2019-12-09,2.53
2019-12-10,2.53
2019-12-11,2.51
2019-12-12,2.58
2019-12-13,2.49
2019-12-16,2.54
2019-12-17,2.54
2019-12-18,2.56
2019-12-19,2.55
2019-12-20,2.56
2019-12-23,2.57
2019-12-24,2.55
2019-12-25,.
2019-12-26,2.55
2019-12-27,2.51
2019-12-30,2.53
2019-12-31,2.55
2020-01-01,.
2020-01-02,2.53
2020-01-03,2.47
2020-01-06,2.52
2020-01-07,2.54
2020-01-08,2.58
2020-01-09,2.54
2020-01-10,2.51
2020-01-13,2.52
2020-01-14,2.51
2020-01-15,2.48
2020-01-16,2.49
2020-01-17,2.50
2020-01-20,2.50
2020-01-21,2.44
2020-01-22,2.42
2020-01-23,2.40
2020-01-24,2.36
2020-01-27,2.32
2020-01-28,2.35
2020-01-29,2.30
2020-01-30,2.30
2020-01-31,2.28
2020-02-03,2.29
2020-02-04,2.34
2020-02-05,2.36
2020-02-06,2.35
2020-02-07,2.27
2020-02-10,2.26
2020-02-11,2.29
2020-02-12,2.31
2020-02-13,2.31
2020-02-14,2.28
2020-02-17,2.28
2020-02-18,2.26
2020-02-19,2.27
2020-02-20,2.25
2020-02-21,2.22
2020-02-24,2.17
2020-02-25,2.14
2020-02-26,2.13
2020-02-27,2.17
2020-02-28,2.05
2020-02-29,2.07
2020-03-02,2.03
2020-03-03,1.95
2020-03-04,1.92
2020-03-05,1.88
2020-03-06,1.79
2020-03-09,1.79
2020-03-10,1.98
2020-03-11,2.06
