DATE,BAMLH0A2HYBEY
2016-11-01,6.59
2016-11-02,6.67
2016-11-03,6.66
2016-11-04,6.69
2016-11-07,6.51
2016-11-08,6.56
2016-11-09,6.64
2016-11-10,6.71
2016-11-11,6.71
2016-11-14,6.96
2016-11-15,6.78
2016-11-16,6.78
2016-11-17,6.72
2016-11-18,6.75
2016-11-21,6.71
2016-11-22,6.6
2016-11-23,6.6
2016-11-24,6.6
2016-11-25,6.6
2016-11-28,6.57
2016-11-29,6.57
2016-11-30,6.5
2016-12-01,6.52
2016-12-02,6.48
2016-12-05,6.43
2016-12-06,6.35
2016-12-07,6.22
2016-12-08,6.21
2016-12-09,6.16
2016-12-12,6.14
2016-12-13,6.1
2016-12-14,6.07
2016-12-15,6.21
2016-12-16,6.23
2016-12-19,6.2
2016-12-20,6.18
2016-12-21,6.16
2016-12-22,6.13
2016-12-23,6.12
2016-12-26,.
2016-12-27,6.09
2016-12-28,6.08
2016-12-29,6.08
2016-12-30,6.06
2016-12-31,6.09
2017-01-02,.
2017-01-03,6
2017-01-04,5.89
2017-01-05,5.84
2017-01-06,5.83
2017-01-09,5.84
2017-01-10,5.85
2017-01-11,5.86
2017-01-12,5.88
2017-01-13,5.84
2017-01-16,5.81
2017-01-17,5.81
2017-01-18,5.82
2017-01-19,5.88
2017-01-20,5.9
2017-01-23,5.93
2017-01-24,5.9
2017-01-25,5.86
2017-01-26,5.81
2017-01-27,5.79
2017-01-30,5.84
2017-01-31,5.88
2017-02-01,5.86
2017-02-02,5.83
2017-02-03,5.78
2017-02-06,5.76
2017-02-07,5.76
2017-02-08,5.79
2017-02-09,5.81
2017-02-10,5.8
2017-02-13,5.78
2017-02-14,5.75
2017-02-15,5.76
2017-02-16,5.76
2017-02-17,5.77
2017-02-20,5.77
2017-02-21,5.7
2017-02-22,5.66
2017-02-23,5.63
2017-02-24,5.62
2017-02-27,5.6
2017-02-28,5.6
2017-03-01,5.53
2017-03-02,5.54
2017-03-03,5.58
2017-03-06,5.65
2017-03-07,5.75
2017-03-08,5.86
2017-03-09,6
2017-03-10,5.97
2017-03-13,6.03
2017-03-14,6.14
2017-03-15,6.01
2017-03-16,5.87
2017-03-17,5.87
2017-03-20,5.91
2017-03-21,5.96
2017-03-22,6.04
2017-03-23,6
2017-03-24,5.96
2017-03-27,6
2017-03-28,5.91
2017-03-29,5.8
2017-03-30,5.72
2017-03-31,5.88
2017-04-03,5.89
2017-04-04,5.9
2017-04-05,5.8
2017-04-06,5.82
2017-04-07,5.79
2017-04-10,5.78
2017-04-11,5.81
2017-04-12,5.83
2017-04-13,5.85
2017-04-14,.
2017-04-17,5.84
2017-04-18,5.84
2017-04-19,5.79
2017-04-20,5.79
2017-04-21,5.77
2017-04-24,5.68
2017-04-25,5.64
2017-04-26,5.63
2017-04-27,5.61
2017-04-28,5.58
2017-04-30,5.65
2017-05-01,5.67
2017-05-02,5.68
2017-05-03,5.68
2017-05-04,5.77
2017-05-05,5.8
2017-05-08,5.77
2017-05-09,5.74
2017-05-10,5.72
2017-05-11,5.72
2017-05-12,5.71
2017-05-15,5.64
2017-05-16,5.63
2017-05-17,5.66
2017-05-18,5.7
2017-05-19,5.62
2017-05-22,5.57
2017-05-23,5.55
2017-05-24,5.53
2017-05-25,5.5
2017-05-26,5.53
2017-05-29,5.52
2017-05-30,5.48
2017-05-31,5.53
2017-06-01,5.51
2017-06-02,5.46
2017-06-05,5.47
2017-06-06,5.49
2017-06-07,5.53
2017-06-08,5.61
2017-06-09,5.59
2017-06-12,5.58
2017-06-13,5.54
2017-06-14,5.51
2017-06-15,5.57
2017-06-16,5.6
2017-06-19,5.59
2017-06-20,5.63
2017-06-21,5.73
2017-06-22,5.74
2017-06-23,5.72
2017-06-26,5.7
2017-06-27,5.68
2017-06-28,5.68
2017-06-29,5.71
2017-06-30,5.73
2017-07-03,5.72
2017-07-04,5.72
2017-07-05,5.71
2017-07-06,5.78
2017-07-07,5.86
2017-07-10,5.85
2017-07-11,5.86
2017-07-12,5.77
2017-07-13,5.74
2017-07-14,5.65
2017-07-17,5.6
2017-07-18,5.58
2017-07-19,5.52
2017-07-20,5.47
2017-07-21,5.46
2017-07-24,5.5
2017-07-25,5.48
2017-07-26,5.43
2017-07-27,5.42
2017-07-28,5.45
2017-07-31,5.47
2017-08-01,5.45
2017-08-02,5.44
2017-08-03,5.44
2017-08-04,5.47
2017-08-07,5.46
2017-08-08,5.49
2017-08-09,5.64
2017-08-10,5.73
2017-08-11,5.8
2017-08-14,5.7
2017-08-15,5.72
2017-08-16,5.69
2017-08-17,5.73
2017-08-18,5.78
2017-08-21,5.8
2017-08-22,5.76
2017-08-23,5.75
2017-08-24,5.72
2017-08-25,5.69
2017-08-28,5.65
2017-08-29,5.66
2017-08-30,5.63
2017-08-31,5.59
2017-09-01,5.62
2017-09-04,5.61
2017-09-05,5.63
2017-09-06,5.59
2017-09-07,5.58
2017-09-08,5.62
2017-09-11,5.62
2017-09-12,5.62
2017-09-13,5.59
2017-09-14,5.57
2017-09-15,5.57
2017-09-18,5.56
2017-09-19,5.54
2017-09-20,5.53
2017-09-21,5.54
2017-09-22,5.55
2017-09-25,5.53
2017-09-26,5.50
2017-09-27,5.52
2017-09-28,5.49
2017-09-29,5.50
2017-09-30,5.54
2017-10-02,5.53
2017-10-03,5.53
2017-10-04,5.52
2017-10-05,5.52
2017-10-06,5.52
2017-10-09,5.51
2017-10-10,5.50
2017-10-11,5.50
2017-10-12,5.54
2017-10-13,5.51
2017-10-16,5.49
2017-10-17,5.46
2017-10-18,5.45
2017-10-19,5.44
2017-10-20,5.44
2017-10-23,5.39
2017-10-24,5.39
2017-10-25,5.44
2017-10-26,5.46
2017-10-27,5.44
2017-10-30,5.43
2017-10-31,5.49
2017-11-01,5.47
2017-11-02,5.50
2017-11-03,5.49
2017-11-06,5.52
2017-11-07,5.54
2017-11-08,5.67
2017-11-09,5.83
2017-11-10,5.87
2017-11-13,5.90
2017-11-14,5.97
2017-11-15,6.06
2017-11-16,5.88
2017-11-17,5.85
2017-11-20,5.82
2017-11-21,5.79
2017-11-22,5.76
2017-11-23,5.76
2017-11-24,5.75
2017-11-27,5.72
2017-11-28,5.75
2017-11-29,5.73
2017-11-30,5.84
2017-12-01,5.83
2017-12-04,5.81
2017-12-05,5.80
2017-12-06,5.82
2017-12-07,5.85
2017-12-08,5.86
2017-12-11,5.83
2017-12-12,5.82
2017-12-13,5.82
2017-12-14,5.82
2017-12-15,5.85
2017-12-18,5.86
2017-12-19,5.88
2017-12-20,5.90
2017-12-21,5.88
2017-12-22,5.88
2017-12-25,.
2017-12-26,5.88
2017-12-27,5.84
2017-12-28,5.82
2017-12-29,5.82
2017-12-31,5.90
2018-01-01,.
2018-01-02,5.87
2018-01-03,5.76
2018-01-04,5.70
2018-01-05,5.68
2018-01-08,5.68
2018-01-09,5.70
2018-01-10,5.80
2018-01-11,5.76
2018-01-12,5.76
2018-01-15,5.73
2018-01-16,5.73
2018-01-17,5.75
2018-01-18,5.78
2018-01-19,5.77
2018-01-22,5.76
2018-01-23,5.72
2018-01-24,5.72
2018-01-25,5.71
2018-01-26,5.69
2018-01-29,5.75
2018-01-30,5.85
2018-01-31,5.90
2018-02-01,5.97
2018-02-02,6.09
2018-02-05,6.13
2018-02-06,6.23
2018-02-07,6.11
2018-02-08,6.26
2018-02-09,6.46
2018-02-12,6.37
2018-02-13,6.46
2018-02-14,6.43
2018-02-15,6.28
2018-02-16,6.19
2018-02-19,6.19
2018-02-20,6.19
2018-02-21,6.21
2018-02-22,6.27
2018-02-23,6.28
2018-02-26,6.19
2018-02-27,6.20
2018-02-28,6.16
2018-03-01,6.23
2018-03-02,6.34
2018-03-05,6.30
2018-03-06,6.24
2018-03-07,6.28
2018-03-08,6.27
2018-03-09,6.26
2018-03-12,6.25
2018-03-13,6.27
2018-03-14,6.26
2018-03-15,6.26
2018-03-16,6.24
2018-03-19,6.29
2018-03-20,6.30
2018-03-21,6.28
2018-03-22,6.31
2018-03-23,6.35
2018-03-26,6.36
2018-03-27,6.33
2018-03-28,6.36
2018-03-29,6.34
2018-03-30,.
2018-03-31,6.50
2018-04-02,6.54
2018-04-03,6.52
2018-04-04,6.53
2018-04-05,6.43
2018-04-06,6.44
2018-04-09,6.41
2018-04-10,6.32
2018-04-11,6.30
2018-04-12,6.26
2018-04-13,6.21
2018-04-16,6.17
2018-04-17,6.12
2018-04-18,6.13
2018-04-19,6.26
2018-04-20,6.29
2018-04-23,6.34
2018-04-24,6.39
2018-04-25,6.49
2018-04-26,6.41
2018-04-27,6.39
2018-04-30,6.46
2018-05-01,6.51
2018-05-02,6.48
2018-05-03,6.51
2018-05-04,6.50
2018-05-07,6.46
2018-05-08,6.47
2018-05-09,6.48
2018-05-10,6.45
2018-05-11,6.42
2018-05-14,6.39
2018-05-15,6.46
2018-05-16,6.48
2018-05-17,6.47
2018-05-18,6.48
2018-05-21,6.48
2018-05-22,6.46
2018-05-23,6.48
2018-05-24,6.47
2018-05-25,6.48
2018-05-28,6.48
2018-05-29,6.53
2018-05-30,6.49
2018-05-31,6.55
2018-06-01,6.53
2018-06-04,6.52
2018-06-05,6.50
2018-06-06,6.48
2018-06-07,6.45
2018-06-08,6.47
2018-06-11,6.42
2018-06-12,6.40
2018-06-13,6.38
2018-06-14,6.32
2018-06-15,6.32
2018-06-18,6.32
2018-06-19,6.35
2018-06-20,6.31
2018-06-21,6.33
2018-06-22,6.34
2018-06-25,6.39
2018-06-26,6.41
2018-06-27,6.44
2018-06-28,6.56
2018-06-29,6.53
2018-06-30,6.60
2018-07-02,6.69
2018-07-03,6.64
2018-07-04,6.64
2018-07-05,6.63
2018-07-06,6.61
2018-07-09,6.54
2018-07-10,6.49
2018-07-11,6.53
2018-07-12,6.49
2018-07-13,6.49
2018-07-16,6.47
2018-07-17,6.47
2018-07-18,6.45
2018-07-19,6.46
2018-07-20,6.45
2018-07-23,6.46
2018-07-24,6.44
2018-07-25,6.43
2018-07-26,6.41
