#,Company,Symbol,Weight,Price,Chg,% Chg
1,Apple Inc.,AAPL,7.02559,144.64,-6.01,(-3.99%)
2,Microsoft Corporation,MSFT,5.253231,220.37,-7.8,(-3.42%)
3,Amazon.com Inc.,AMZN,2.648316,92.8,-3.99,(-4.12%)
4,Tesla Inc,TSLA,1.873232,215.88,-11.94,(-5.24%)
5,Alphabet Inc. Class A,GOOGL,1.674627,87,-3.47,(-3.84%)
6,Berkshire Hathaway Inc. Class B,BRK.B,1.639298,289.25,-4.88,(-1.66%)
7,UnitedHealth Group Incorporated,UNH,1.580413,543.98,-3.33,(-0.61%)
8,Alphabet Inc. Class C,GOOG,1.497995,87.15,-3.35,(-3.70%)
9,Exxon Mobil Corporation,XOM,1.439832,109.7,-2.21,(-1.97%)
10,Johnson & Johnson,JNJ,1.404874,171,-2.09,(-1.21%)
11,JPMorgan Chase & Co.,JPM,1.160154,126.8,-1.35,(-1.05%)
12,NVIDIA Corporation,NVDA,1.046883,132.3,-3.13,(-2.31%)
13,Visa Inc. Class A,V,1.044444,200.75,-6.18,(-2.99%)
14,Chevron Corporation,CVX,1.013044,178.6,-3.62,(-1.99%)
15,Procter & Gamble Company,PG,0.995531,133.2,-1.68,(-1.25%)
16,Home Depot Inc.,HD,0.939347,288.73,-7.33,(-2.48%)
17,Mastercard Incorporated Class A,MA,0.877584,319.82,-13.37,(-4.01%)
18,Eli Lilly and Company,LLY,0.85839,354.92,2.34,(0.66%)
19,Pfizer Inc.,PFE,0.831802,47.19,-0.82,(-1.71%)
20,AbbVie Inc.,ABBV,0.801865,144.54,-2.38,(-1.62%)
21,Bank of America Corp,BAC,0.781213,36.12,-0.08,(-0.22%)
22,Merck & Co. Inc.,MRK,0.780158,99.4,-0.36,(-0.36%)
23,PepsiCo Inc.,PEP,0.769952,178.28,-2.48,(-1.37%)
24,Coca-Cola Company,KO,0.716814,58.89,-0.75,(-1.26%)
25,Costco Wholesale Corporation,COST,0.683663,484.03,-15.94,(-3.19%)
26,Meta Platforms Inc. Class A,META,0.67027,90.83,-4.37,(-4.59%)
27,Thermo Fisher Scientific Inc.,TMO,0.626127,492,-25.69,(-4.96%)
28,Walmart Inc.,WMT,0.623475,140.7,-0.99,(-0.70%)
29,McDonald's Corporation,MCD,0.620448,271.71,-1.24,(-0.45%)
30,Walt Disney Company,DIS,0.596554,101.99,-4.01,(-3.78%)
31,Broadcom Inc.,AVGO,0.583845,456,-11.9,(-2.54%)
32,Cisco Systems Inc.,CSCO,0.581745,44.87,-0.59,(-1.30%)
33,Wells Fargo & Company,WFC,0.550326,47.01,0.06,(0.13%)
34,Accenture Plc Class A,ACN,0.549286,273.07,-8.4,(-2.98%)
35,Abbott Laboratories,ABT,0.537427,98.1,-1.21,(-1.22%)
36,Danaher Corporation,DHR,0.517579,242.34,-13.48,(-5.27%)
37,Bristol-Myers Squibb Company,BMY,0.512706,77.45,-0.25,(-0.32%)
38,ConocoPhillips,COP,0.502688,127.73,-0.05,(-0.04%)
39,Salesforce Inc.,CRM,0.491403,149.98,-9.84,(-6.16%)
40,Verizon Communications Inc.,VZ,0.484998,37.63,0.26,(0.70%)
41,NextEra Energy Inc.,NEE,0.471834,77.17,-0.54,(-0.69%)
42,Texas Instruments Incorporated,TXN,0.459962,158.54,-4.36,(-2.68%)
43,Linde plc,LIN,0.459173,294.2,-3.97,(-1.33%)
44,Adobe Incorporated,ADBE,0.45701,301.92,-14.1,(-4.46%)
45,Amgen Inc.,AMGN,0.449741,269.21,-2.85,(-1.05%)
46,Philip Morris International Inc.,PM,0.43937,89.2,-2.52,(-2.75%)
47,Raytheon Technologies Corporation,RTX,0.435979,94,-1.55,(-1.62%)
48,Comcast Corporation Class A,CMCSA,0.429493,31.51,-0.05,(-0.16%)
49,Honeywell International Inc.,HON,0.422816,200.83,-2.27,(-1.12%)
50,QUALCOMM Incorporated,QCOM,0.407176,104.83,-12.5,(-10.65%)
51,Elevance Health Inc.,ELV,0.403917,534.23,-10.3,(-1.89%)
52,AT&T Inc.,T,0.403675,18.43,0.08,(0.44%)
53,Netflix Inc.,NFLX,0.394051,269.48,-17.27,(-6.02%)
54,International Business Machines Corporation,IBM,0.385718,136.9,-1.3,(-0.94%)
55,CVS Health Corporation,CVS,0.383873,97.5,2.88,(3.04%)
56,Lowe's Companies Inc.,LOW,0.382295,186.71,-6.84,(-3.53%)
57,Union Pacific Corporation,UNP,0.379653,192.7,-4.12,(-2.09%)
58,United Parcel Service Inc. Class B,UPS,0.378699,164.23,-3.17,(-1.89%)
59,Charles Schwab Corp,SCHW,0.37696,71.73,-8.16,(-10.21%)
60,Goldman Sachs Group Inc.,GS,0.367526,349.83,1.25,(0.36%)
61,NIKE Inc. Class B,NKE,0.366154,89.91,-3.86,(-4.12%)
62,Oracle Corporation,ORCL,0.361971,75,-2.11,(-2.74%)
63,Medtronic Plc,MDT,0.360266,85.78,-1.96,(-2.23%)
64,Intel Corporation,INTC,0.359084,27.5,-0.8,(-2.83%)
65,Caterpillar Inc.,CAT,0.356467,214.25,-4.25,(-1.95%)
66,Lockheed Martin Corporation,LMT,0.354318,481.6,-4.03,(-0.83%)
67,Morgan Stanley,MS,0.346448,84.21,0.49,(0.59%)
68,Intuit Inc.,INTU,0.343477,386,-8.77,(-2.22%)
69,Deere & Company,DE,0.333775,385.5,-3.21,(-0.83%)
70,S&P Global Inc.,SPGI,0.332847,310.75,-5.38,(-1.70%)
71,Automatic Data Processing Inc.,ADP,0.312768,238.25,-5.39,(-2.21%)
72,Prologis Inc.,PLD,0.307992,106.9,-1.65,(-1.52%)
73,Starbucks Corporation,SBUX,0.307887,84.7,-2.4,(-2.76%)
74,Gilead Sciences Inc.,GILD,0.307291,77.93,-1.41,(-1.78%)
75,Cigna Corporation,CI,0.306574,321.5,-3.62,(-1.11%)
76,BlackRock Inc.,BLK,0.303712,639,-13,(-1.99%)
77,American Tower Corporation,AMT,0.299103,205,-2.88,(-1.39%)
78,Advanced Micro Devices Inc.,AMD,0.297802,58.53,-1.13,(-1.89%)
79,PayPal Holdings Inc.,PYPL,0.296711,79.77,-3.34,(-4.02%)
80,T-Mobile US Inc.,TMUS,0.28328,150.2,-2.08,(-1.37%)
81,Citigroup Inc.,C,0.276495,45.55,-0.67,(-1.45%)
82,Chubb Limited,CB,0.275517,212.95,-0.53,(-0.25%)
83,American Express Company,AXP,0.272616,144.22,-2.86,(-1.94%)
84,Intuitive Surgical Inc.,ISRG,0.272144,236.12,-10.74,(-4.35%)
85,General Electric Company,GE,0.264201,77.5,-0.71,(-0.91%)
86,Mondelez International Inc. Class A,MDLZ,0.262049,62.58,0.71,(1.15%)
87,ServiceNow Inc.,NOW,0.261317,394.7,-23.86,(-5.70%)
88,TJX Companies Inc,TJX,0.259631,70.04,-1.72,(-2.40%)
89,Altria Group Inc,MO,0.256775,44.84,-1.3,(-2.82%)
90,Regeneron Pharmaceuticals Inc.,REGN,0.251638,742,-17.91,(-2.36%)
91,Marsh & McLennan Companies Inc.,MMC,0.250155,159.06,-3.18,(-1.96%)
92,Vertex Pharmaceuticals Incorporated,VRTX,0.249014,310.6,-3.6,(-1.15%)
93,Boeing Company,BA,0.247333,147.41,4.03,(2.81%)
94,EOG Resources Inc.,EOG,0.246852,134,-2.31,(-1.69%)
95,Applied Materials Inc.,AMAT,0.241383,87.25,-2.54,(-2.83%)
96,Northrop Grumman Corp.,NOC,0.240564,530.01,-5.87,(-1.10%)
97,Target Corporation,TGT,0.235859,160.5,-4.09,(-2.48%)
98,Progressive Corporation,PGR,0.232485,127.73,-1.29,(-1.00%)
99,Analog Devices Inc.,ADI,0.232483,141.96,-2.74,(-1.89%)
100,Booking Holdings Inc.,BKNG,0.232142,1864.91,-24.61,(-1.30%)
101,Stryker Corporation,SYK,0.22899,212.77,-7.32,(-3.33%)
102,Schlumberger NV,SLB,0.224515,51.03,-0.52,(-1.01%)
103,Duke Energy Corporation,DUK,0.222357,93.25,-0.49,(-0.52%)
104,Zoetis Inc. Class A,ZTS,0.220698,167.93,15.21,(9.96%)
105,Humana Inc.,HUM,0.216094,558,3.51,(0.63%)
106,Southern Company,SO,0.215266,64.71,-0.82,(-1.25%)
107,3M Company,MMM,0.213695,123.3,-2,(-1.60%)
108,Becton Dickinson and Company,BDX,0.206126,228,-5.88,(-2.51%)
109,Fiserv Inc.,FISV,0.205595,100.62,-3.4,(-3.27%)
110,PNC Financial Services Group Inc.,PNC,0.204986,158.73,-3.08,(-1.90%)
111,CSX Corporation,CSX,0.192352,28.6,-0.47,(-1.62%)
112,CME Group Inc. Class A,CME,0.191684,172.88,-0.65,(-0.37%)
113,Colgate-Palmolive Company,CL,0.190385,72.9,-0.84,(-1.14%)
114,Boston Scientific Corporation,BSX,0.188359,41.93,-0.83,(-1.94%)
115,Micron Technology Inc.,MU,0.187044,53.45,-1.41,(-2.57%)
116,Eaton Corp. Plc,ETN,0.186645,150.61,-1.03,(-0.68%)
117,Pioneer Natural Resources Company,PXD,0.186511,252.92,-0.01,(-0.00%)
118,Illinois Tool Works Inc.,ITW,0.185675,209.57,-3.72,(-1.74%)
119,Aon Plc Class A,AON,0.185253,279.13,-5.36,(-1.88%)
120,Marathon Petroleum Corporation,MPC,0.183672,114.73,-4.47,(-3.75%)
121,Truist Financial Corporation,TFC,0.183162,43.86,-0.96,(-2.14%)
122,Waste Management Inc.,WM,0.181938,155.22,-1.3,(-0.83%)
123,Dominion Energy Inc,D,0.179368,69.01,-0.71,(-1.02%)
124,U.S. Bancorp,USB,0.179166,41.65,-1.23,(-2.87%)
125,Dollar General Corporation,DG,0.178061,249.8,-4.34,(-1.71%)
126,General Motors Company,GM,0.176771,38.5,-0.85,(-2.16%)
127,Crown Castle Inc.,CCI,0.176478,128.49,-3.77,(-2.85%)
128,Lam Research Corporation,LRCX,0.174669,396.2,-16.51,(-4.00%)
129,General Dynamics Corporation,GD,0.173651,246.5,-3.41,(-1.36%)
130,Air Products and Chemicals Inc.,APD,0.172245,245.17,-6.95,(-2.76%)
131,Occidental Petroleum Corporation,OXY,0.169944,71.1,-2.7,(-3.66%)
132,McKesson Corporation,MCK,0.169707,390.26,8.22,(2.15%)
133,Archer-Daniels-Midland Company,ADM,0.169047,95.8,-1.73,(-1.77%)
134,Norfolk Southern Corporation,NSC,0.166918,228.31,-1.68,(-0.73%)
135,O'Reilly Automotive Inc.,ORLY,0.164362,815.11,-18.89,(-2.26%)
136,Sherwin-Williams Company,SHW,0.16385,223.53,-1.25,(-0.56%)
137,Ford Motor Company,F,0.16354,13.04,-0.36,(-2.69%)
138,Intercontinental Exchange Inc.,ICE,0.162093,92.63,-1.39,(-1.48%)
139,Activision Blizzard Inc.,ATVI,0.161282,72.8,-0.51,(-0.70%)
140,Moderna Inc.,MRNA,0.160737,148.88,-5.75,(-3.72%)
141,Phillips 66,PSX,0.159171,103.15,-4.23,(-3.94%)
142,Valero Energy Corporation,VLO,0.158267,125.71,-4.29,(-3.30%)
143,Emerson Electric Co.,EMR,0.157078,84.95,-0.9,(-1.05%)
144,Devon Energy Corporation,DVN,0.156417,67.94,-9.36,(-12.11%)
145,Fidelity National Information Services Inc.,FIS,0.156218,79.47,-3.57,(-4.30%)
146,Equinix Inc.,EQIX,0.155514,549.25,-5.26,(-0.95%)
147,MetLife Inc.,MET,0.15309,73.57,-0.37,(-0.50%)
148,AutoZone Inc.,AZO,0.153061,2482.34,-52.66,(-2.08%)
149,Centene Corporation,CNC,0.151789,85.06,-0.87,(-1.01%)
150,Public Storage,PSA,0.150235,287,-20.64,(-6.71%)
151,Corteva Inc,CTVA,0.148882,66.91,-0.2,(-0.30%)
152,General Mills Inc.,GIS,0.147835,80.17,-0.12,(-0.15%)
153,Estee Lauder Companies Inc. Class A,EL,0.147652,190.16,-16.6,(-8.03%)
154,HCA Healthcare Inc,HCA,0.147135,215,-6.13,(-2.77%)
155,Sempra Energy,SRE,0.146649,150.54,-0.91,(-0.60%)
156,Freeport-McMoRan Inc.,FCX,0.145388,30.96,-1.94,(-5.90%)
157,Autodesk Inc.,ADSK,0.144164,199.43,-14.62,(-6.83%)
158,DexCom Inc.,DXCM,0.143976,115.75,-3.29,(-2.76%)
159,L3Harris Technologies Inc,LHX,0.142455,238.81,-2.34,(-0.97%)
160,KLA Corporation,KLAC,0.14074,313.03,-8.15,(-2.54%)
161,Amphenol Corporation Class A,APH,0.140601,74.03,-2.74,(-3.57%)
162,American Electric Power Company Inc.,AEP,0.140084,88.15,-0.38,(-0.43%)
163,Edwards Lifesciences Corporation,EW,0.139241,70.55,-2.04,(-2.81%)
164,Synopsys Inc.,SNPS,0.137331,282.04,-9.13,(-3.14%)
165,Marriott International Inc. Class A,MAR,0.135624,154,-6.07,(-3.79%)
166,Roper Technologies Inc.,ROP,0.135018,403.12,-10.59,(-2.56%)
167,American International Group Inc.,AIG,0.134104,51.25,-5.82,(-10.20%)
168,Travelers Companies Inc.,TRV,0.134081,187.13,4.35,(2.38%)
169,Sysco Corporation,SYY,0.132428,81.35,-2.76,(-3.28%)
170,Agilent Technologies Inc.,A,0.130507,135.27,-5.62,(-3.99%)
171,Kimberly-Clark Corporation,KMB,0.129737,122,-2.35,(-1.89%)
172,Moody's Corporation,MCO,0.128902,254.18,-10.17,(-3.85%)
