,gsector,gicdesc,public_date,ticker,roa,intcov_ratio,quick_ratio,intcov,bm,npm,debt_assets,debt_ebitda,inv_turn,cash_ratio
193,20.0,Industrials,2017-02-28,AAL,0.1571487325582562,5.7982625482625485,0.6653690888119954,3.583011583011583,0.1602664451774262,0.0666002986560477,0.9261809104029332,3.107876930933231,26.25958099131324,0.5043973471741637
817,35.0,Health Care,2017-02-28,ABT,0.105949123124594,17.004694835680752,3.654954954954955,5.990610328638498,0.3693287887230853,0.0509758787704407,0.6066342611931796,4.423316582914573,3.222729982118021,2.819069069069069
1428,55.0,Utilities,2017-02-28,PNW,0.0864778876578824,4.160917752284659,0.417366231845723,3.1487167023138247,0.9161324278031112,0.1263430057375892,0.6915874799029983,3.222494490663005,7.668622159646447,0.0068688096795999
2263,45.0,Information Technology,2017-02-28,AMD,-0.0183514774494556,-0.8333333333333334,1.3216939078751857,-2.185897435897436,0.0402720010563147,-0.1163389513108614,0.8747365251430292,-24.322033898305083,4.006997900629811,0.9390787518573552
2521,35.0,Health Care,2017-02-28,AET,0.0913925990106885,16.49526813880126,1.521825184551193,8.16403785488959,0.4100717661129486,0.0359591481276225,0.7405055968530356,3.688805570433851,,1.116507970471809
2877,15.0,Materials,2017-02-28,APD,0.1400377691630821,10.662609871534825,0.8491587108255355,8.235970250169034,0.2505448859958935,0.142315722283541,0.577240824789635,2.274587288485349,6.6100562053774885,0.2176849413978456
3640,20.0,Industrials,2017-02-28,ALK,0.2217641709608972,26.654545454545456,0.790138067061144,15.8,0.3101556291861323,0.137244983982465,0.7057819714916683,1.6205576817933296,71.6734693877551,0.6232741617357002
4699,40.0,Financials,2017-02-28,Y,0.0364514896103944,8.442554443069154,,6.5995906812583485,0.847277295035053,0.0750216853440568,0.6626340454318551,1.7383281550037497,,
5965,20.0,Industrials,2017-02-28,HON,0.1616245578086641,20.363888888888887,1.1445716735043785,14.358333333333333,0.2252699949670224,0.1223601852323037,0.6389391644812175,1.886736036359287,5.826997496016389,0.4802522809380932
6388,,,2017-02-28,AA,0.0738132247548041,2.516754850088184,0.8823664613404432,0.3227513227513227,0.8784479125551039,-0.0185507246376811,0.6105022050528187,3.500093179276929,4.8611351195620855,0.3922037326468695
7186,10.0,Energy,2017-02-28,HES,0.0352776362710137,-8.06766917293233,1.7561083962683253,-14.36842105263158,0.7660191347441133,-1.2876942461150778,0.4552601236854058,6.14259927797834,7.977839335180056,1.2136828076410484
8198,40.0,Financials,2017-02-28,PRI,0.0345453656608466,12.766581854937089,,8.647485274127774,0.449143404802839,0.1444383589057616,0.8932266731288022,2.298381909310257,178.66776548151637,
8857,20.0,Industrials,2017-02-28,ECOL,0.1419038005356542,4.043945256106715,1.8431159536057768,2.977940751862332,0.3376717101205965,0.0717071587828289,0.6393302421432251,2.544478932469211,,0.1120714445474007
9481,55.0,Utilities,2017-02-28,AEP,0.0868903754510558,3.740876305307353,0.5334386186565592,1.6603509527397995,0.950536913086054,0.0374478788285785,0.7255281032714278,4.096759361436034,9.48792647505094,0.0570857022531059
10235,40.0,Financials,2017-02-28,AXP,0.0572924640008497,10.285350318471338,,7.889171974522293,0.2822379298151723,0.1598911982970168,0.8709760656542453,5.733558730504963,3.2889541088580576,
10741,40.0,Financials,2017-02-28,AFL,0.0349434737923946,15.99626865671642,,10.921641791044776,0.9041800038351,0.1188433002592295,0.842226484566974,1.2364475201845444,,
11380,40.0,Financials,2017-02-28,AIG,0.0137217684361143,2.173015873015873,,0.3976190476190476,1.1832864179036306,-0.0141739341537657,0.8457484385787454,4.590070298769772,,
12173,40.0,Financials,2017-02-28,ANAT,0.0101265148450967,,,,1.496674827020773,0.0560736516756295,0.8099925480640088,0.556666871203289,,
13365,20.0,Industrials,2017-02-28,AME,0.1463354992777441,8.90217011776407,1.553464201609405,6.419030589031965,0.3478966478412809,0.1333714574695834,0.5413797338111846,2.324897807617192,4.712207479968804,0.7758840207217118
13549,35.0,Health Care,2017-02-28,AMGN,0.1608557526038525,7.853174603174603,3.861567297393788,7.128571428571429,0.2993637988848223,0.3358705580444521,0.6151418339216242,2.883,0.7938223938223938,3.3992324169939305
15637,45.0,Information Technology,2017-02-28,ADI,0.1684346190669043,14.0654530442657,5.873174494912726,12.474777606136472,0.267065546317658,0.251844780907515,0.3518898587978989,1.368235843326148,2.673622616682871,5.180248909869798
16761,10.0,Energy,2017-02-28,APA,0.1186625081598607,-1.2542372881355932,1.5002712967986978,-1.9067796610169487,0.3300245507040452,-0.2556362958822433,0.6589990674541498,3.4816625916870416,4.401529636711281,0.7471513836136734
