gicdesc,public_date,ticker,roa,intcov_ratio,quick_ratio,intcov,bm,npm,debt_assets,debt_ebitda,inv_turn,cash_ratio,long_term_credit_rating,rating,gsector_15.0,gsector_20.0,gsector_25.0,gsector_30.0,gsector_35.0,gsector_40.0,gsector_45.0,gsector_50.0,gsector_55.0
Information Technology,2017-02-28,ON,0.1314063368538077,2.510667584308328,1.2238120590975643,2.253269098417068,0.4012570911387783,0.0466098441219381,0.7287996071861822,5.107586012408348,2.5866561833089974,0.6960601623851991,BB,0,0,0,0,0,0,0,1,0,0
Consumer Discretionary,2017-02-28,TIF,0.1876514849172126,16.285714285714285,1.7416396979503772,10.46734693877551,0.3183151217050825,0.113274291878873,0.4277457492482906,1.142312480547775,0.5708056252044043,1.1446601941747572,BBB+,1,0,0,1,0,0,0,0,0,0
Utilities,2017-02-28,PPL,0.1025304061018347,3.422645739910314,0.4459212926765702,3.132286995515695,0.6014299372652192,0.2530264733271252,0.7416416547044239,4.837647650163357,9.924263674614306,0.088871514203805,A-,1,0,0,0,0,0,0,0,0,1
Utilities,2017-02-28,PEG,0.0816184524193028,5.875324675324675,0.7225274725274725,3.303896103896104,0.9835005868737768,0.0978920648934996,0.6723234339905166,3.720555730975687,6.327428878153516,0.1291208791208791,BBB+,1,0,0,0,0,0,0,0,0,1
Energy,2017-02-28,XEC,-0.0243026850514871,-6.189151215294457,1.7918223726529237,-3.9092492074166585,0.1580361595487199,-0.2962340579710145,0.5179041863037801,-12.915352365741668,32.3314339008883,1.2498774772567158,BBB-,1,0,0,0,0,0,0,0,0,0
Materials,2017-02-28,AVY,0.1822956354556219,9.483464566929134,0.6913635683280945,6.050393700787401,0.1509419849030343,0.0526903803499548,0.7894868528796288,1.662379421221865,8.441571457205853,0.1132564985281645,BBB,1,1,0,0,0,0,0,0,0,0
Energy,2017-02-28,PDCE,0.0409096046969357,-4.289538225425438,1.477670024909638,-2.700335535125863,0.6343131208624867,-0.6422521969627724,0.4153262642776986,7.459521127162272,418.4333333333333,0.9021428201849376,B+,0,0,0,0,0,0,0,0,0,0
Information Technology,2017-02-28,GLW,0.0989264075399496,8.774725274725276,2.7542711741185024,21.302197802197803,0.7079285325900752,0.3935037273695421,0.3562493279329008,1.3975644699140402,3.07843137254902,1.9233006179571064,BBB+,1,0,0,0,0,0,0,1,0,0
Information Technology,2017-02-28,ORCL,0.1380724293835892,8.269981120201384,4.288192723307227,6.5506607929515415,0.2938879707206029,0.2368675475346439,0.5886953353869501,3.1180132278563093,24.856316297010608,3.858002048841744,AA-,1,0,0,0,0,0,0,1,0,0
Industrials,2017-02-28,BECN,0.1099359214319756,4.707610761076108,1.3006834758257582,3.0647864786478647,0.5373477230671975,0.0248576085655674,0.5871910982472531,3.304933559015227,5.681340868419102,0.064504607147124,BB-,0,0,1,0,0,0,0,0,0,0
